stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021001003241000,Kymlinge norrut,59.393469,17.966965,1,,
9021001003242000,Kymlinge söderut,59.393575,17.967415,1,,
9021001003251000,Kista,59.402950,17.942676,1,,
9021001003261000,Husby,59.409713,17.926915,1,,
9021001003271000,Akalla,59.413817,17.917376,1,,
9021001003273000,Akalla uppställning,59.415104,17.914224,1,,
9021001003411000,Huvudsta,59.349727,17.986937,1,,
9021001003421000,Solna strand,59.354669,17.973211,1,,
9021001003431000,Sundbybergs centrum,59.360533,17.973032,1,,
9021001003441000,Duvbo,59.368117,17.962933,1,,
9021001003451000,Rissne,59.375899,17.939694,1,,
9021001003461000,Rinkeby,59.388157,17.928064,1,,
9021001003471000,Tensta,59.394129,17.902487,1,,
9021001003481000,Hjulsta,59.396773,17.888694,1,,
9021001004201000,Alvik,59.333597,17.980402,1,,
9021001004301000,T-Centralen,59.332120,18.062138,1,,
9021001004303000,Kungsträdgården,59.332792,18.070632,1,,
9021001004305000,Nybroplan,59.332729,18.076569,1,,
9021001004307000,Styrmansgatan,59.331583,18.084638,1,,
9021001004309000,Djurgårdsbron,59.331817,18.092360,1,,
9021001004311000,Nordiska museet/Vasamuseet,59.329286,18.095511,1,,
9021001004313000,Liljevalchs/Gröna Lund,59.325243,18.097146,1,,
9021001004315000,Skansen,59.323953,18.100582,1,,
9021001004317000,Djurgårdsskolan,59.323234,18.104952,1,,
9021001004318000,Bellmansro,59.324006,18.110548,1,,
9021001004319000,Waldemarsudde,59.322644,18.111387,1,,
9021001004320000,Skansenslingan,59.323995,18.101463,1,,
9021001004321000,Norrmalmstorgsslingan,59.333384,18.073519,1,,
9021001004411000,Alléparken,59.328999,17.974248,1,,
9021001004421000,Klövervägen,59.324991,17.973869,1,,
9021001004431000,Smedslätten,59.320897,17.964376,1,,
9021001004441000,Ålstensgatan,59.323438,17.956482,1,,
9021001004451000,Ålstens gård,59.320601,17.952095,1,,
9021001004461000,Höglandstorget,59.323314,17.940038,1,,
9021001004471000,Olovslund,59.327904,17.935239,1,,
9021001004481000,Nockeby torg,59.328991,17.928322,1,,
9021001004491000,Nockeby,59.328740,17.918568,1,,
9021001004501000,Gullmarsplan,59.299492,18.080314,1,,
9021001004503000,Globen,59.294124,18.076611,1,,
9021001004505000,Linde,59.293263,18.063634,1,,
9021001004507000,Valla torg,59.295011,18.048441,1,,
9021001004509000,Årstafältet,59.296342,18.039716,1,,
9021001004511000,Årstaberg,59.299248,18.029705,1,,
9021001004513000,Årstadal,59.305825,18.025525,1,,
9021001004515000,Liljeholmen,59.310605,18.024809,1,,
9021001004517000,Trekanten,59.314066,18.018307,1,,
9021001004519000,Gröndal,59.315924,18.011222,1,,
9021001004521000,Stora Essingen,59.324775,17.992990,1,,
9021001004523000,Alviks strand,59.328900,17.982026,1,,
9021001004525000,Alvik,59.333591,17.980191,1,,
9021001004527000,Mårtensdal,59.302675,18.088033,1,,
9021001004529000,Luma,59.304172,18.095878,1,,
9021001004531000,Sickla kaj,59.302769,18.103624,1,,
9021001004533000,Sickla udde,59.306252,18.108776,1,,
9021001004535000,Johannesfred,59.342796,17.969780,1,,
9021001004537000,Norra Ulvsunda,59.349889,17.962391,1,,
9021001004539000,Karlsbodavägen,59.355981,17.961341,1,,
9021001004541000,Bällsta bro,59.360680,17.962966,1,,
9021001004543000,Sundbybergs centrum,59.360839,17.970407,1,,
9021001004545000,Solna Business Park,59.359507,17.979549,1,,
9021001004547000,Solna centrum,59.361356,17.996283,1,,
9021001004549000,Solna station,59.363754,18.008219,1,,
9021001004551000,Gröndal,59.315259,18.006760,1,,
9021001004561000,Bromma Blocks,59.353917,17.956709,1,,
9021001004563000,Bromma flygplats,59.356889,17.946664,1,,
9021001004701000,Waldemarsudde,59.322596,18.111033,1,,
9021001004702000,Norrmalmstorg,59.333437,18.073540,1,,
9021001004703000,Bellmansro,59.324162,18.110857,1,,
9021001004705000,Skansenslingan,59.324179,18.102231,1,,
9021001005001000,Arlanda central,59.649383,17.928518,1,,
9021001005003000,Tierp,60.343827,17.525416,1,,
9021001005004000,Skutskär,60.619208,17.419395,1,,
9021001005005000,Gävle,60.679478,17.151890,1,,
9021001005006000,Knivsta,59.726369,17.786740,1,,
9021001005007000,Uppsala C,59.858521,17.648593,1,,
9021001005011000,Stockholms central,59.329520,18.057845,1,,
9021001005021000,Karlberg,59.339561,18.029285,1,,
9021001005031000,Solna,59.366504,18.009571,1,,
9021001005041000,Ulriksdal,59.379900,18.001071,1,,
9021001005051000,Helenelund,59.409402,17.962018,1,,
9021001005061000,Sollentuna,59.428009,17.948838,1,,
9021001005071000,Häggvik,59.443548,17.933176,1,,
9021001005081000,Norrviken,59.457997,17.924576,1,,
9021001005091000,Rotebro,59.476565,17.914091,1,,
9021001005101000,Upplands Väsby,59.521641,17.899546,1,,
9021001005111000,Rosersberg,59.583033,17.880233,1,,
9021001005121000,Märsta,59.627523,17.861107,1,,
9021001005131000,Stockholms södra,59.313578,18.061920,1,,
9021001005135000,Årstaberg,59.299684,18.028338,1,,
9021001005141000,Älvsjö,59.278549,18.010451,1,,
9021001005151000,Stuvsta,59.253279,17.995850,1,,
9021001005161000,Huddinge,59.235823,17.977971,1,,
9021001005171000,Flemingsberg,59.219028,17.947176,1,,
